Expression Label,tweets
negative,"Ижийгээ амьдад үхэж болохгүй
Ижий мниь цээжиндээ наргүй болноо
Ертөнцийн гоо үзэсгэлэн гундаа
Ерөөлтэй ижий минь гандаж хоцорно (А. Эрдэнэ-Очир “Ижийтэй хүн үхдэггүй”) https://t.co/KgqJTi3dUB"
positive,@mungundalai1 Эрдэнэ даргын эхнэр намбалаг сайхан л хүн байдаг юм.Мэддэг таньдагын хувьд...3 уулаа л сайхан тэргүүн хатагтай болох нь..
negative,@ShinegerelR Анд Эрдэнэ даргаа ялуулчих гээд л тандаж сууна уу итар...
positive,"Л.Оюун-Эрдэнэ: Дархан, Сэлэнгийн бүс нутгийг эрчимжсэн хөдөө аж ахуйн бүс болгоно.
https://t.co/zrUJfBRf2f https://t.co/djYvai5tFJ"
neutral,"АН-с нэр дэвшигч С.Эрдэнэ мэдэгдэл хийсэнд Пакистанууд маш их дургүйцэж байгаа юм байна 😆
ЖАНхуурсан юм... https://t.co/taOkyjq30F"
neutral,Пакистанчууд л С.Эрдэнэ мэдэгдэл хийхэд их ууртай дургүй байгаа юм байна. https://t.co/zy9oUSpVkm
negative,@m_zorigt Эрдэнэ л АН г тараах нөхцөл бүрдүүлсэн. Тамгаа өгчихөөд МАНаар шинэ тамга хийлгүүлээд бөөн будлиан.
neutral,Цаана чинь С.Эрдэнэ мэдэгдэл хийсэн чинь Пакистанчууд уурлаад сүйд. 😂 https://t.co/lwwDcTtBVH
positive,Оюун-Эрдэнэ дүү зурагаа аваарай ! https://t.co/JlWdJgDEeo
negative,С.Эрдэнэ-н яриаг ойлгохгүй уурлаад байгаа юм байхдаа эсвэл ойлгоод уурлаад байгаа юу 🤣🤣🤣 ер нь энэ мэдэгдлийг эд нар яаж үзчихэв 🤣🤣🤣 https://t.co/HsDFOTTNRs
negative,С.Эрдэнэ хэргээ хэрэгсэхгүй болгуулаад нэмээд МАН аас хэдэн төгрөг авч байгаа вэ?
negative,"@Ganbaa80101074 Ийм нөхцөлд аймаг,нийслэл,сум,дүүргүүдэд Эрдэнэ сонгуулийн штаб байгуулвал бөөн хэрүүл тэмцэл,маргаан болох нь ойгомжтой."
negative,"@amgaaamgalanba1 Хүрэлсүх, Эрдэнэ 2г бол дэмжихгүй. Үлдсэн ахад бол саналаа өгчихөд бас яах вээ болжийна"
negative,"У.Хүрэлсүх, С.Эрдэнэ 2-н хэн нь ч хэрэггүй дээ. Хоёул хууль хяналтын байгуулгад ноцтой шалтгаанаар шалгагдаж байсан олиггүй гарууд гэж л боддог."
negative,@Odkhuu_D @olimpic20201 МАН засагласан жилүүд үргэлж ухралт бсан Оюун-Эрдэнэ өөрчилж чадах уу??
positive,"Хөвсгөлийн багш, сурагчид болон шавь Б.Хүслэн-Эрдэнэ минь ""Мөнх тэнгэрийн бичиг""-т амжилттай оролцжээ.❤️

Монгол орны өнцөг булан бүрээс оролцсон багш, сурагчдыг шалгаруулан урамшуулж, тэдний бүтээлийг хотын гудамж талбайд дэлгэн сурталчилж буй ЕТГ-ын хамт олонд талархъя! 👏🏻 https://t.co/EgTPKJZV0k"
positive,"Л.ОЮУН-ЭРДЭНЭ: СЭЛЭНГЭ, ДАРХАНЫГ УУЛ УУРХАЙН ЭДИЙН ЗАСГИЙГ ОРЛОХУЙЦ МАЛ, АЖ АХУЙ, ГАЗАР ТАРИАЛАНГИЙН ЭРЧИМЖСЭН БҮС НУТАГ БОЛГОНО https://t.co/y8QyXOivpi https://t.co/SwFlo9qDQY"
neutral,Краш маань гарч байна :) нөгөө хэний эхнэрийн хэлдгээр юун ч олон краштай юм билээ ха ха. Эрдэнэ засгийн унага зохиол дээр нэг бүсгүйг шар тосны самнаа шиг сайхан бүсгүй шүү гэдэг билүү нэг их гоё тодорхойлдог юм. Тэр зохиолыг ахиад олоод уншчих юмсан. https://t.co/zC7RPrtT7f
negative,"Ерөнхий сайд Л.Оюун-Эрдэнэ хаврын тариалалтын явц, эрчимжсэн маа-н үйл ажиллагаатай танилцахдаа “Дархан, Сэлэнгийг уул уурхайн эдийн засагтай эн зэрэгцэх, өсөн нэмэгдэх, шавхагдашгүй нөөц бүхий эрчимжсэн хаа-н бүс нутаг болгохын төлөөЗасгийн газар бодлогоо чиглүүлэх болно” гэжээ https://t.co/Uu1JZsmPOf"
negative,"С.Эрдэнэ нь байна уу, Н.Алтанхуяг нь байна уу, хэн нь ч бай, Ардчилсан намаас Ерөнхийлөгчид нэр дэвшлээ гэхэд ялах магадлалгүй болсон. Ингэж дотроо зодолдож байгаа хүмүүст яаж иргэд итгэж төрийн тэргүүний сэнтий өгөх вэ дээ. Хэнд ч ойлгомжтой."
negative,Монгол нэртэй хүн лав алга 🤣🤣🤣 Эрдэнэ даргын ярьсныг яаж ойлгоод уурлаад байдын бол 🥴 https://t.co/2y6qFh6htE
positive,@otgonjargal Эрдэнэ өвөө яг санта өвөө шиг бшд 😍😂
positive,Ерөнхий сайд Л.Оюун-Эрдэнэ Шилдэг татвар төлөгч Арвинхур компаний үйл ажиллагаатай танилцлаа https://t.co/An2xepwcnE #Сангийн Яам # mof_gov_mn via @MOFMongolia
negative,"Ерөнхий сайд Л.Оюун-Эрдэнэ хаврын тариалалтын явц, эрчимжсэн маа-н үйл ажиллагаатай танилцахдаа “Дархан, Сэлэнгийг уул уурхайн эдийн засагтай эн зэрэгцэх, өсөн нэмэгдэх, шавхагдашгүй нөөц бүхий эрчимжсэн хаа-н бүс нутаг болгохын төлөөЗасгийн газар бодлогоо чиглүүлэх болно” гэжээ https://t.co/xOPpKExnpx"
negative,@amaraaliberty Хүүзийн ЗГ чадлынхаа хэрээр зөөсөн дөө. С.Эрдэнэ л харин гаднаас хүмүүсээ авчрах хэрэггүй гээд бсан биздээ.
positive,"Амьдрал мөнхийн зүүд минь тэнгэрийн зурсан зураг минь
Алдааг нь тоолоход ч жаргал амтагдмаар хонгор минь
Алсаас надруу урссан цаг хугацааны зэрэглээн дундаас
Амжиж миний олж харсан үл мэдэг инээмсэглэлт минь ...

А.Эрдэнэ-Очир ""Голын тохой дээр"" https://t.co/7mYvdLBnGz"
positive,"...Цэх зогсоод буудуулсан ч сум хүрэхгүй алс
Цээжний гүнд эх орон минь бий...

Арлааны Эрдэнэ-Очир"
negative,"“Дайсан нөхрөө ялгах гэж сэтгэлээ эвдэж явсангүй ээ”  

А. ЭРДЭНЭ ОЧИР https://t.co/tVv1K0wZqn"
negative,"Манай үеэл дүү Эрдэнэ их муу хүн гэнээ. за яг яасы гэсэн , мэдэхгүй муу хүн л гэсэн гэх. тодорхой хэлэх юм юу ч байхгүй зүгээр л хар пиараар бүх улс төрчид нэгнийгээ муу хүн болгоцон. тархийг нь зад угаагаад явууллаа, АНд элсэнэ л гэж шаажээн. энэ нөхөр сонгууль болтол хэд эргэнэ"
positive,"""Пакистанчууд"" У.Хүрэлсүх-д 3000 зүрх дарж дэмжиж байгаагаа илэрхийлсэн бол С.Эрдэнэ-д 2200 ууртай эможи дарж ""дургүйцлээ"" илэрхийлжээ. 

У.Хүрэлсүхийн видеог 244к хүн үзэхдээ 14500 эможи, 25000 шейр хийжээ.
С.Эрдэнийн видеог 144к хүн үзсэн ч 4300 эможи, 242 шейр хийжээ. https://t.co/C1SvNITtIv"
positive,"Сүүлийн 50 жилд think tank-ууд яаж аажмаар академик (их сургуулиуд) хүрээллийн нөлөөг хумьж, эсрэгээрээ өөрсдөө бодлого тодорхойлогчдод илүү нөлөөтэй болсон талаар их сонирхолтой, op-ed маягаар бичсэн scholarly article уншиж бна. Google scholar-с олдсон эрдэнэ байлаа энэ!"
negative,Л.Оюун-эрдэнэ: Монгол улс мал аж ахуйн салбараас нэмүү өртөг шингэсэн бүтээгдэхүүн экспортод гаргах цаг болсон https://t.co/YsAI4KnUwV
positive,Монгол Улсын Ерөнхийлөгчийн сонгуульд Ардчилсан намаас нэр дэвшигч С.Эрдэнэ https://t.co/zW92N5zHQk
negative,"АН-аас ерөнхийлөгчийн сонгуульд нэр дэвшигч С.Эрдэнэ: 
""Х.Баттулга хэзээ нэгэн цагт хийсэн алдаатай алхмынхаа шанг хүртэнэ гэж би сануулсан"" https://t.co/PLN0j6g37k"
negative,"Хүүк-ийг дэмжигчид надад бол нэг иймэрхүү дүр төрхтэй харагдаад байгаа.
Хүүкийг дэмжигч:
- Эрдэнэ ял авч байсан. 
Эрдэнийг дэмжигч:
- Хүрэлсүх ч бас ял авсан.
Хүүкийг дэмжинч:
- Тэр ямар хамаатай юм. Аль дээр үеийн явдал.
:-o"
negative,"Л.Оюун-Эрдэнэ: Дархан, Сэлэнгийг уул уурхайн эдийн засагтай эн зэрэгцэх, эрчимжсэн хөдөө аж ахуйн бүс нутаг болгоно https://t.co/NbxJXbwbMv https://t.co/RogG8tXEw1"
negative,"Нөгөө л новшийн шалтаг аа 3 -4 жил точоод л хүмүүс онхолдож үхсээр л байх юм! МАН-н 4 засгийн нүүр үзлээ? Дуусдаггүй ээ! 
Л.Оюун-Эрдэнэ: Дарханы замыг Л.Халтар сайд толгойгоороо хариуцна шүү https://t.co/aOWWtUGQqJ"
neutral,"Толгой цавчдаг сайдтай болсон юм байна. 

Л.Оюун-Эрдэнэ: Дарханы замыг Л.Халтар сайд толгойгоороо хариуцна шүү https://t.co/qnLAEm3W97"
positive,Ерөнхий сайд Л.Оюун-Эрдэнэ Шилдэг татвар төлөгч Арвинхур компаний үйл ажиллагаатай танилцлаа https://t.co/smyC5pD2Qw
negative,"“... Чөдөртэй морины мөр шиг амьдралын зураг сүлжээнд
Чөтгөр бурхан хоёр нэг бутанд 
Өр хатуу энэ орчлон дээр зовлон жаргал ялгалгүй
Өөрийгөө эрсээр яваад л орчлонг ололгүй буцахгүйсэн ...” 📖🖋

~Арлааны Эрдэнэ-Очир 📚 https://t.co/Or7GCP12qm"
positive,"Л.Оюун-Эрдэнэ: Сэлэнгэ, Дарханыг МАА, газар тариалангийн эрчимжсэн бүс болгоно https://t.co/UT3Daxk5cF"
positive,"“Амьдрал мөнхийн зүүд минь, 
тэнгэрийн зурсан зураг минь
Алдааг нь цуглуулахад ч 
жаргал амтагдмаар хонгор минь
Алсаас надруу урссан 
цаг хугацааны зэрэглээн дундаас
Амжиж миний олж харсан 
үл мэдэг инээмсэглэлт минь...” 📖🖋

~ Арлааны Эрдэнэ-Очир 📚 https://t.co/pIRQDbId3H"
negative,"Л.Оюун-Эрдэнэ: Сэлэнгэ, Дарханыг уул уурхайн эдийн засгийг орлохуйц мал аж ахуй, газар тариалангийн эрчимжсэн бүс нутаг болгоно
https://t.co/UQlf4f5hva https://t.co/lCFX2SqpQr"
positive,"Л.Оюун-Эрдэнэ: Сэлэнгэ, Дарханыг мал аж ахуй, газар тариалангийн эрчимжсэн бүс нутаг болгоно https://t.co/ORwfN2Cq2S"
positive,"Л.Оюун-Эрдэнэ: Сэлэнгэ, Дарханыг уул уурхайн эдийн засгийг орлохуйц МАА, газар тариалангийн эрчимжсэн бүс нутаг болгоно https://t.co/fa3pSKxk4t via @zaluu.com"
negative,"Урлаг &amp; Соёл 

""Голын тохой дээр"" А.Эрдэнэ-Очир 

https://t.co/ajrunpMhzN via @YouTube"
negative,"2016-2020 онд Баянгол дүүргийн Засаг даргаар Оросоо ах ажилласан. Оросоо ахыг ЗД байхад дүүргийн хэмжээнд хэнийг хаана томилох, хөрөнгө яаж хуваарилах, хэнтэй уулзах яахыг бүгдийг С.Эрдэнэ шийддэг, Оросоо ах С.Эрдэнийн ""хүүхэлдэй"" байсан.
Тулгат даргыг харахаар яг тэр бодогддын."
negative,@Batka_ Эрдэнэ хүүк 2-оос алд илүү
positive,"@DemocraticMN Өдрийн мэнд, С.Эрдэнэ. МУ-ын Ерөнхийлөгчийн сонгуульд АН-аас нэр дэвшигч С.Эрдэнэд амжилт хүсч, эрүүл энх, сайн сайхныг хүсэн ерөе. Таныг сонгуульдаа ялна гэдэгт итгэдэг. Гүнээ хүндэтгэсэн, УБ хот. БЗД. 22-р хорооны иргэн Б.Энхбаяр"
negative,Эмтэрхий балгас дотор эрдэнэ нуугдаж байдагчлан эмтэрсэн зүрхэнд эгэлгүй сэтгэл оршиж байдаг.
positive,Очироо (Я.Эрдэнэ-Очир) МУ-ын гавъяат эмч болжээ.
positive,"Л.Оюун-Эрдэнэ: Сэлэнгэ, Дарханыг уул уурхайн эдийн засгийг орлохуйц мал, аж ахуй, газар тариалангийн эрчимжсэн бүс нутаг болгоно https://t.co/kFgWrm9x06"
negative,Монгол Улсын Ерөнхий сайд Л.Оюун-Эрдэнэ Орхон аймагт ажиллаж байна https://t.co/CVs9Lw0K9b https://t.co/9htehAi3Jh
positive,"Ерөнхий сайд Л.Оюун-Эрдэнэ Орхон аймагт хүрэлцэн ирж, вакцинжуулалтын явцтай танилцаж байна. “Эрдэнэт үйлдвэр”-ийнхэнтэй уулзана. 49% нтр гээд ярих сэдэв их байгаа даа https://t.co/UOGKr44tG2"
negative,"@Batka_ Тэгээд Хүүк, Эрдэнэ хоёр нь тийм юм уу?"
positive,Би ерөнхийлөгчийн сонгуульд С.Эрдэнэ-г дэмжих ээ илэрхийлж бн 🙋‍♂️
positive,"@Demberel_S Өдрийн мэнд, Бат-Эрдэнэ ахаа. Та ч мэдрэмжтэй, гоё зургууд авсан байна. Амжилт хүсье. Миний авсан зураг тийм сайн болохгүй л байна даа. Танаас суралцмаар юм их бололтой. Амжилт хүсье."
positive,Тэхдээ танар Эрдэнэ лүү бас дайралдаа адилхан л нэр дэвших эрхээ авцан биздээ 😂😂😂😂
positive,"🇲🇳 БАЯРТ МЭДЭЭ
👏🏻 Монгол Улсын Ерөнхий сайд Л.Оюун-Эрдэнэ Эрдэнэт хотын гэр хорооллын таван багийн 1000 өрхийг орон сууцжуулах төсөлд шаардлагатай хөрөнгийг шийдвэрлэхээ мэдэгдлээ. Одоо бид зураг төсөв боловсруулах ажлыг гүйцэтгэж Сангийн яаманд хандах юм. https://t.co/uODXe4jZSx"
positive,"Л.Оюун-Эрдэнэ: Сэлэнгэ, Дарханыг уул уурхайн эдийн засгийг орлохуйц мал, аж ахуй, газар тариалангийн эрчимжсэн бүс нутаг болгоно  https://t.co/MxlPCZ7NeW"
positive,Оюунгэрэл нь байна уу Амаржаргал нь байна уу Эрдэнэ нь байна уу Алтанхуяг нь байна уу АНаас хэн ч дэвшсэн дэмжинэ гүйцээ
negative,Монгол Улсын Ерөнхий сайд Л.Оюун-Эрдэнэ Орхон аймагт ажиллаж байна https://t.co/0JB8JHoVC6 https://t.co/VOO8COy75Y
positive,"“Амгалан зvvдэнд гэнэт орж уйлах чинь сэтгэл өвтгөх хөндvvртэй
Анирхан Хэрлэнгийн шугуйд хайрын гуниг дуулах чинь итгэл дуудсан гэгээтэй
Амьсгал зөөлөн дорнын салхи өвөрт орж ирэх нь санаа алдаастай
Азаар би энэ жилvvдийг бичиглэсэн минь хожмын алтан хуудастай”

~ А. Эрдэнэ-Очир https://t.co/HVpd5kW0tM"
positive,"Энхбат гуайг дэмжжаа нь элит күүл Хүрэлсүх, Эрдэнэ гуайг дэмжжаа нь шууд орк юм байна тэ? Тийм пост коммэнт хандлага харахаар шууд шилэн хүзүү тус газар таталт өгөөд эхэллээ шүү!"
positive,"“Надаас эгч төгсөх ангийн охин
    Намайг орхиод хадамд мөдхөн очноо
    Нарийхан дуу, гоолигхон бие нь
    Зүүдэнд л хааяа үзэгдэнэ ...

    Надаас эгч төгсөх ангийн охин... “ 📖🖋

~ Арлааны Эрдэнэ-Очир https://t.co/HA4NUX5R6W"
neutral,"Ерөнхий сайд Л.Оюун-Эрдэнэ,Хятад айлчлахдаа Элбэгээд хэрэг үүсгэж “бэлэг барих”-аар шийдээд байхдаа яахав дээ!Манжийн үе рүүгээ эргэн очиж байгаагаа ийм ичгүүргүй зарлаж байгаа юм уу?"
positive,"“Сайхан юмаа, арцны үнэртэй уулсынхаа дунд тайвширч явах

...Өндөр тэнгэр нь хэвээрээ, уужуу хаяа нь янзаараа ч
Өөр өөр юм хорвоод их болж байна
Өр нэхэхгүй эхийн сэтгэл дээр л 
Өргөн ертөнц тогтдогийг би мэдэж байна.” 📖🖋

~Арлааны Эрдэнэ-Очир https://t.co/MaT9qUkfOQ"
negative,"МАНгаруудаа, хаашдаа санал тооллого луйвардах чинь тодорхой. Огцорсон сайд @UKhurelsukh огцорсон дарга Эрдэнэ хоёрыг өрсөлдүүлж онигоо болсноос,
АНаас @altankhuyag_mn ийг нь сонгуульд оролцуулаад сонгуулийг луйвардвал, иргэдийн бухимдал арай багасана даа.
Тийм үү? Үгүй юу? https://t.co/Qkev5vTipt"
positive,"“... Айсуй цагийн цэцэгт инээд
Ангир буцсан нуурын гуниг 
Амрагийнхаа тунирхлыг хармаар ...

... Ирэх буцах цагийг зангидаж
Ингэ гунганасан нутагтаа очиж 
Ижийнхээ нулимстай инээдийг хармаар ...” 📖🖋

~Арлааны Эрдэнэ-Очир 📚 https://t.co/y1oN5eckBj"
positive,"Хүндэт Я.Эрдэнэ-Очир багшдаа хүний гавьяат эмч хэмээх алдар хүндтэй цол авсанд нь халуун баяр хүргэе ээ! М/З-н олон шинэ техник технологи нэвтрүүлсэн хүн дээ. 

Well deserved! https://t.co/gRCHHcakSQ"
