,tweets,retweets
368,"RT @Bolort: МАН, АН, Зөв хүн электорат гээд гурван хүчний нэр дэвшигчдийн лист ороход уншигчдын өгч буй үнэлгээ МАН, АН дээр 💩💩 Зөв хүн эле…",33
1,RT @sudlaachganaa: Нэр дэвшигчдийн жагсаалтаас хүмүүс олон янзын  дүгнэлт хийх нь жам ёс. Гэвч энэ нь ердөө л ерөнхий дүгнэлт. Та бидний бо…,29
419,"Нэр дэвшигчдийн жагсаалтаас хүмүүс олон янзын  дүгнэлт хийх нь жам ёс. Гэвч энэ нь ердөө л ерөнхий дүгнэлт. Та бидний бодит боломж бол тойрогтоо нэр дэвшсэн 10-20 хүн дотроос 2-4-ийг л ""зөв"" сонгох явдал. Энэ сонголтоо шинээр хийвэл шинэ болно, хуучнаараа хийвэл хуучин болно...",29
182,"RT @enkhbat: Ж нь, хүн асуудалдаа хэн нэгнийг, эсвэл гадаад ямар нэг зүйлийг буруутгаж бгаа бол түүнд асуудлаа шийдэж урагшлах зөв сэтгэлгэ…",24
181,"RT @enkhbat: Ментор, көүч заавал илүү мэдлэгтэй хүн байх албагүй. Гагцхүү өөрөөр харж чаддаг, түүнийгээ нөгөө хүндээ системтэйгээр, зөв хүр…",24
319,"ДЭМЖЛЭГ ХҮСЭХ ТУХАЙ

УИХ-ын 21-р буюу Налайх, Багануур, Багахангайн тойрогт Зөв ХҮН Электорат эвслээс @nabar андын хамт нэр дэвшиж байгаа билээ.

Та бүхнээсээ хүсэх дэмжлэгээ сайхан жагсаад биччихлээ. Карманд тэрбум төгрөг байгаа биш олон нийтийн дэмжлэгээр сайхан үзнэдээ. https://t.co/GO3MENPqVm",22
208,"RT @MBBontoi: ДЭМЖЛЭГ ХҮСЭХ ТУХАЙ

УИХ-ын 21-р буюу Налайх, Багануур, Багахангайн тойрогт Зөв ХҮН Электорат эвслээс @nabar андын хамт нэр д…",22
267,"RT @OtgooGo: Нэгдсэн байдлаар нэг хүснэгт!!!

МАН, АН, МАХН, 'Зөв хүн электорат' эвслээс  сонгуульд нэр дэвшигчид эцсийн байдлаар https://t…",17
491,"Нэгдсэн байдлаар нэг хүснэгт!!!

МАН, АН, МАХН, 'Зөв хүн электорат' эвслээс  сонгуульд нэр дэвшигчид эцсийн байдлаар https://t.co/XMPA9kqIbF",17
165,"RT @Bolort: Намууд нэр дэвшигчдийгээ танилцуулахдаа жаахан шинэ үетэйгээ хөл нийлүүлж алхмаар... Дундаж нас, хүйс, мэргэжил, туршлага, 2012…",15
245,"Намууд нэр дэвшигчдийгээ танилцуулахдаа жаахан шинэ үетэйгээ хөл нийлүүлж алхмаар... Дундаж нас, хүйс, мэргэжил, туршлага, 2012, 2016 оноос өөрчлөлтийн хувь гээд гоё статистикууд гаргамаар бна, АН хальт тийм мэдээлэл хийсэн. МАН бол бүр таг чиг... Зөв хүн электорат арай дээр байв",15
143,RT @JavkhaaG: Өнөөдөр миний бие Ганбаатарын Жавхлантөгс “Зөв Хүн Электорат” эвслээс УИХ-ын 29-р тойрог буюу Хан-Уул дүүрэгт нэр дэвших манд…,13
169,"RT @AminaMongolia: Хэн ч харагдаж байгаа шигээ биш. Бусдын нүдэнд аз жаргалтай ч юм шиг, эсвэл тусархаг, зөв хүн шиг аашилж болох ч эцсийн…",9
14,"RT @amarbayar_a: Маш сайхан тодорхойлжээ. УИХ-ын сонгуульд олон Зүй Ёстой ЗӨВ Хүн оролцож, сонголт сайтай байгаасай. Иргэн бүр сонгуульдаа…",8
338,RT @batengineer: Буруу хүмүүст эрх мэдэл авч өгөхөөр сонгуульдаж бгаа бол чамайг ямар зөв хүн гэхийн бэ,8
210,"RT @Batka_: За суудлын тоог нь вангадаад явчихаарай. 🗳

МАН?
АН?
ШИНЭ эвсэл?
Зөв Хүн Электорат эвсэл?
Бие даагчид?",7
234,"За суудлын тоог нь вангадаад явчихаарай. 🗳

МАН?
АН?
ШИНЭ эвсэл?
Зөв Хүн Электорат эвсэл?
Бие даагчид?",7
352,"RT @OtgonbayarT: Зөв ХҮН Электорат Найдалааг Чингэлтэй дүүрэгт дэмжиж байна. Хандлага зөв, шинэялэгч залуу удирдагч! Амжилт хүсъе! Чингэлтэ…",5
392,"Зөв ХҮН Электорат Найдалааг Чингэлтэй дүүрэгт дэмжиж байна. Хандлага зөв, шинэялэгч залуу удирдагч! Амжилт хүсъе! Чингэлтэйчүүд дэмжиж байна https://t.co/b4rGWrBVUv",5
309,"RT @Gumpaa: шинэ нам
Батзандан
лу Болд
А.Сүхбатын ах
Сэтгүүлч Отгон
сайхансамбуугын дүү
Ай Төмөрочир
Пара Олимпын аварга
Кэрэн Пунаа

зэрэг…",5
393,"RT @OtgonbayarT: Зөв ХҮН Электоратын Мөнхсоёлыг дэмжиж байна. Энэ бүсгүйгээс худал хэлж, хулгай хийх үйлдэл гарахгүй! Монголын улс төрд шин…",3
164,RT @temuulent: Зөв хүн-электорат уг нь сонсоход гоё л юм..гарчихдаг бол сайхан..гэхдээ Монголын бодит амьдрал дээр ард түмэн эднийг ойлгох…,3
402,RT @S_Otgonbaatar: Бараг МАН-АН vs ЗӨВ_ХҮН-Электорат болох гээд байгаа юм биш үү...,3
444,"Зөв ХҮН Электоратын Мөнхсоёлыг дэмжиж байна. Энэ бүсгүйгээс худал хэлж, хулгай хийх үйлдэл гарахгүй! Монголын улс төрд шинэ соёл нэвтрүүлэгч болхыг ерөөе! https://t.co/p2eSKwXdqc",3
412,Бараг МАН-АН vs ЗӨВ_ХҮН-Электорат болох гээд байгаа юм биш үү... https://t.co/53EOEJ6ZSV,3
409,RT @S_Otgonbaatar: Бараг МАН-АН vs ЗӨВ_ХҮН-Электорат болох гээд байгаа юм биш үү... https://t.co/53EOEJ6ZSV,3
215,"УИХ-ын 2020 оны ээлжит сонгуульд ""Зөв хүн-электорат эвсэл"" буюу Хөдөлмөрийн үндэсний нам, Монголын Социал Демократ нам, Зүй ёс нам нэр дэвшүүлэх хүмүүсийнхээ нэрсийг тодруулаад байна #МОНЦАМЭ #МонголМэдээ https://t.co/sBm674DH4y",2
211,"RT @montsameMN: УИХ-ын 2020 оны ээлжит сонгуульд ""Зөв хүн-электорат эвсэл"" буюу Хөдөлмөрийн үндэсний нам, Монголын Социал Демократ нам, Зүй…",2
9,"Монгол улсын иргэн бүр сонгох, сонгогдох эрхтэйг үндсэн хуулиндаа зааж өгсөн. Иргэн Алтангэрэлийн Мөнх-Эрдэнэ миний бие ""Зөв хүн-Электорат"" эвслээс УИХ-ын сонгуулийн 13-р тойрог буюу Сэлэнгэ аймагт нэр дэвшиж байна.  #Зөвхүн",2
2,"RT @A_Munkherdene: Та бүхэн ""Зөв хүн-Электорат"" эвслийг дэмжинэ гэдэгт итгэж байна. УИХ-ын 2020 оны сонгуульд нэр дэвшиж байгаа бүх нэр дэв…",2
256,"ЗӨВ ХҮН-ээс огт танихгүй хүмүүс нэр дэвшсэн байна. Харж байгаад 2-ыг нь сонгоод, АН-аас Тэмүүжинд саналаа өгнө өө. #Cонгууль2020 https://t.co/dncwqarxqK",2
254,"RT @iimgai: ЗӨВ ХҮН-ээс огт танихгүй хүмүүс нэр дэвшсэн байна. Харж байгаад 2-ыг нь сонгоод, АН-аас Тэмүүжинд саналаа өгнө өө. #Cонгууль202…",2
3,"RT @A_Munkherdene: Монгол улсын иргэн бүр сонгох, сонгогдох эрхтэйг үндсэн хуулиндаа зааж өгсөн. Иргэн Алтангэрэлийн Мөнх-Эрдэнэ миний бие…",2
8,"Та бүхэн ""Зөв хүн-Электорат"" эвслийг дэмжинэ гэдэгт итгэж байна. УИХ-ын 2020 оны сонгуульд нэр дэвшиж байгаа бүх нэр дэвшигч нартаа баяр хүргэе. Миний бие шударга, хүнлэг, ёс зүйтэй өрсөлдөөнийг эрхэмлэх болно.
#Зөвхүн",2
13,"RT @VTVMongolia: МАН, АН, ЗӨВ ХҮН ЭЛЕКТОРАТ ЭВСЭЛ УИХ-ын ээлжит сонгуульд нэр дэвшигчдийнхээ баримт бичгийг СЕХ-нд хүргүүллээ. https://t.co…",2
296,RT @enkhbat: @better_than18 Сугалааг олон давтах тусам хүч нь сулардаг. Одоо түүнд итгэх хүн цөөрсөөр бгаа байлгүй. Эртхэн халж зөв тогтолц…,2
10,"RT @Ainotus: Нам үл харгалзан ""Зөв"" гэж үзсэн сэдэв бүхнийг дэмжинэ. 

Нам үл харгалзан итгэл даах ""Зөв""гэж үзсэн хүн бүрийг дэмжинэ.

Бара…",2
454,@better_than18 Сугалааг олон давтах тусам хүч нь сулардаг. Одоо түүнд итгэх хүн цөөрсөөр бгаа байлгүй. Эртхэн халж зөв тогтолцоондоо орох нь илүү найдвартай бхаа,2
339,"RT @Gerelbayar: уламжлал, онцлогт тохирсон хөгжил дэвшлийн зөв зам руу хөтлөн оруулах болно. Тэрээр Монгол улсын дотоод болон гадаад бодлог…",2
151,@sogoomgl Мөнх-Эрдэнэ гэж сайн хуульч залуу Зөв хүн Электоратаас дэвшиж байгаа.,2
16,"МАН, АН, ЗӨВ ХҮН ЭЛЕКТОРАТ ЭВСЭЛ УИХ-ын ээлжит сонгуульд нэр дэвшигчдийнхээ баримт бичгийг СЕХ-нд хүргүүллээ. https://t.co/GMAx112qq0",2
17,"Нам үл харгалзан ""Зөв"" гэж үзсэн сэдэв бүхнийг дэмжинэ. 

Нам үл харгалзан итгэл даах ""Зөв""гэж үзсэн хүн бүрийг дэмжинэ.

Бараг шүлэг зохиочихлоо шүү!😁",2
139,RT @Begz_Ankhbayar: @sogoomgl Мөнх-Эрдэнэ гэж сайн хуульч залуу Зөв хүн Электоратаас дэвшиж байгаа.,2
300,"RT @yagchamshig: @tseko_tselmuun @tseko_tselmuun бид залуу хүмүүс Эрдэнэ, Одонтуяа нар өмнө нь сонгогдож байсан боловч нийгэм яг л хэвээрээ…",1
263,"Бээжин гээч шоглоомтой нэртэй эх оронч өчигдөр Өмнөговьд нэр нь яваад байсан одоо Хөвсгөл болчихсон байх юм 🙃 Учир нь олдохгүймаа 

МАН, АН, ""Та бидний эвсэл"", ""Зөв хүн электорат"" эвслээс нэр дэвшигчид https://t.co/2KLPIC7VdD",1
354,RT @ganerdene_us: Энэ 2020 оны сонгуульд өрсөлдөж буй 400 гаруй хүнээс ганцхан энэ хүн л зөв сонголт гэж харж бгаа шүү. СХДийнхэн маань дэм…,1
356,Энэ 2020 оны сонгуульд өрсөлдөж буй 400 гаруй хүнээс ганцхан энэ хүн л зөв сонголт гэж харж бгаа шүү. СХДийнхэн маань дэмжээрэй. https://t.co/FEQgHknSEs,1
206,"ТАНИЛЦ: Зөв Хүн Электорат Эвслийн нэр дэвшигчдийн нэрс, ажил, төгссөн сургууль https://t.co/1YTxL64Uv8 via @ikonnews",1
174,@Baigaliimaa Анужин УИХ д зөв хооллолт ярихгээгүй юм бол хэрэггүй тийм мэдлэг боловсролтой хүн гэж бодохгүй бн. Хувийн амьдарлаа ч төвхнүүлж чадаагүй хүн улс орон төвхнүүлнэ гэж бодохгүй бн энэнд энэ мэтийн зөндөө хүн хамаатай,1
166,"RT @Gan_Oyuka: ТАНИЛЦ: Зөв Хүн Электорат Эвслийн нэр дэвшигчдийн нэрс, ажил, төгссөн сургууль https://t.co/1YTxL64Uv8 via @ikonnews",1
239,RT @jjngm: Бээжин гээч шоглоомтой нэртэй эх оронч өчигдөр Өмнөговьд нэр нь яваад байсан одоо Хөвсгөл болчихсон байх юм 🙃 Учир нь олдохгүйма…,1
161,RT @munkhdul_ts_az: @Baigaliimaa Анужин УИХ д зөв хооллолт ярихгээгүй юм бол хэрэггүй тийм мэдлэг боловсролтой хүн гэж бодохгүй бн. Хувийн…,1
26,RT @Gereltuguldur_D: @Munkh_Erdene_N хотын зах хотын төв 2 яг ижил хугацаанд зорчиж бна гсн шүү. хотын төвд уулзаад салахад Сэлбийн аманд а…,1
28,@Munkh_Erdene_N хотын зах хотын төв 2 яг ижил хугацаанд зорчиж бна гсн шүү. хотын төвд уулзаад салахад Сэлбийн аманд амьдарч бгаа хүн түрүүлээд гэртээ харьж бна. Сургуулийн хүүхэд зөөхгүй л бол хотоос гарч амьдрах нь хамаагүй зөв болоод бна,1
183,@turbatn Зөв хүн эсвэл яагаад байхгүй байна аа кккк\,1
80,"@LBatkhuyag @odbayare Найз нь 21-р буюу Налайх, Багануур, Багахангайн тойрогт Зөв Хүн Электорат эвслээс дэвшиж байна. Thanks, bro!",1
31,RT @saikhan2020: @turbatn Зөв хүн эсвэл яагаад байхгүй байна аа кккк\,1
77,"RT @MBBontoi: @LBatkhuyag @odbayare Найз нь 21-р буюу Налайх, Багануур, Багахангайн тойрогт Зөв Хүн Электорат эвслээс дэвшиж байна. Thanks,…",1
361,"ТАНИЛЦ: Зөв Хүн Электорат Эвслийн нэр дэвшигчдийн нэрс, ажил, төгссөн сургууль https://t.co/OtQvDKvVYp via @ikonnews",0
97,эвсэл нь зөв хүн гэж үзжээ. ард түмэн зөв гэж үнэлэх эсэхийг сонгуулиар л харах нь дээ https://t.co/slDYkY9dbp,0
385,"ТАНИЛЦ: Зөв Хүн Электорат Эвслийн нэр дэвшигчдийн нэрс, ажил, төгссөн сургууль https://t.co/6AE2VlJqFU via @ikonnews",0
242,"@Uyanga_ts @SaraanaaM яг үнэндээ Уянга л энэ ОТ гэрээ болохгүй бүтэхгүй буруу байна гээд л үглээд бдаг бсан. тэр хэлж бсан үгнүүд нь өнөөдөр бүгд нүдэнд ил болоод, хэлж бсанууд нь зөв байсан нь харагдаж бна. эхнээсээ ман-ы гишүүд ярьж бсаныг нь одоо давтаж яриад явж бна шүүдээ. тийм ч буруу хүн биш бх",0
138,"Зөв сонголт хийх уг нь амархан, дараах 3-аас өөрт чинь сонголт хийхэд дөхөм нэгийг нь сонгоод түүндээ тохирсон хүнээ нам хамааралгүй сонго: 
1. Зөв хүн сонгох (худал яридаггүй, хулгай хийдэггүй, шударга, зарчимч) 2. Шинэ хүн сонгох (залуу байх тусмаа сайн) 3. Эмэгтэй хүн сонгох.",0
25,"ШУУД: ""Зөв Хүн Электорат""-ын ард 3.3 сая монголчууд байгаа https://t.co/u94XreREic",0
23,@turbatn Зөв Хүн,0
21,@Oyunaa4488 Намын дарга хүн чинь тэгээд манай залуучууд зөв зүйтэй хүмүүс гээд л зогсож бна ш дээ. Тогтолцоогоо л сайжруулах ёстой.,0
12,"Миний ойлгож байгаагаар энэ Зөв хүн эвсэл нь голдуу залуу, улс төрд кареер нь эхэлж байгаа хүмүүс гэсэн шалгуур тавьж хүмүүсээ сонгоод үзэл суртал, бодлогын шалгуураа хойш тавьсан байх. Гэхдээ твиттер ийм юм бичихэд нөлөөлсөн байх. ХҮН нэг хүнд дийлдчихгүй байлгүй дээ. https://t.co/3u5pXhZkKe",0
357,@m_zorigt Зөв хүн Электратын талаар жаахан задлаж бичээч өвгөөн? хэдэн суудал авах бол...,0
350,@tsetsegdulam_e Зөв хүн-Электорат-ыг сонгоноо.,0
145,"Манай тойрогт үзэж байгаан байна, амжилт хүсье. Манай хүн ч харин задгай ярьчих байх шүү. Өгөөд үздэг юм уу :) 
Шар айрагийн Г.Ганхүү “ЗӨВ ХҮН ЭЛЕКТОРАТ ЭВСЭЛ”-ээс нэр дэвшинэ https://t.co/jyBP9mE9JB via @GeregMN",0
150,Байх ёстой хүн Зөв хүн гэх юм Бяд тэгээд Хүн биш ём бхдаа тэднийг тм хүн гэж яааж мэдэх үү ... тэд юу хийгээд хаагуур явж бсан ём бол ...,0
246,"Сонгуулийн тойрог бүрт хүн дэвшүүлээгүй нам эвслийг улс төрийн хүчин гэж тооцох, улмаар улс орны хувь заяаг даатгах нь зөв үү?",0
160,@SBayar12 Зөв ч юм буруу ч зүйл хийсэн байх таны хувьд. Гэхдээ бизнесийн ямарч салбарт байгаагүй хүн Монголын хүн амын 95%-с хөрөнгөлөг бна гэдгийг тайлбарлах л хэрэгтэй л дээ улс төрийг л бизнесийн нэг салбар гэж тооцдоггүй юм бол.,0
323,@peaqmn @ulziibayar_b @naranbayarp Шинэ Монгол сургуулийн захирал бсн. Их зөв хандлагатай хүн санагддаг.,0
168,@Altankhuyag_SS @zorigt2002 @TsoodolTulga @BattulgaKh Таны л тэнэг бодол таньдаа л зөв байхдаа... Eрөнхийлөгч Энэтхэгээс хүнд нөхцөлд байгаа иргэдээ авах чиглэл өгөөгүй бол ингэж ирэх боломжгүй байсан юм.УОК урьд нь Энэтхэг нисэхгүй гээд олон түмэнд зарлаад Энэтхэгт гацсан энэ олон хүн хүнд бдалд ороод байсан юм шүү...,0
307,"Зөв хүн нь зөв хүнээ л дэмжинэ, тодорхой!",0
288,"Гадаад төрхөндөө эрс шинэчлэлт хийсэн олны танил 20 хүн. Тэдний шийдвэр зөв байсан гэдийг дараах фото зургууд гэрчилнэ

https://t.co/h0Zckd5oFO",0
203,@ariunkhishigG Хүнийг арай ч болохгүй шүү.  Зөв л хүн шиг байдаг.,0
213,"""ЗӨВ ХҮН ЭЛЕКТОРАТ"" эвсэл https://t.co/J6iuOjCngV",0
238,@Odgooo Аав ээж нь хэлэхээр үгэлсэн санагдаад танихгүй хүн хэлэхээр зөв санагдаад бдаг үе хүүхдүүдэд бдаг даа ... Тиймэрхүү л юм,0
249,"Хан-Уулын нэр дэвшигчдээс сонгох нэг хүнээ тодруулчаад харин хоёрдох гуравдах  хүн нь хэн байхвээ гээд гайхаад, бодоод л сууж байна. Хэнийг сонговол зөв болох бол?",0
247,"Зөв, эрэгтэй хүн бурхан биш, эмэгтэй хүн буг биш, аль альныг, хэн юу чаддагаар нь л дэмж https://t.co/EgT8wPS1no",0
0,@batzayased Ер нь хамгийн зөв загвар л даа. Тэнд туршигдчихсан зүйлийг энд шууд хуулбарлах. Ард түмэн нь бараг адилхан юм чинь. Хуулаад байгааг хүн амын 10% хүрэхгүй хувь нь харж байгаа. Пр баг нь сурна. Яг л франчейз гэсэн үг.,0
