Expression Label,tweets
positive,@Ganchuluun_T @khulan9009 За тэгээд өөрсдөө мэдтүгэй. Энэ бол миний л байр суурь. Энхбат юу юм бэ гэж залуус хэлвэл би үнэхээр цочиж харнаа.
positive,Д.Энхбат цахим хандивын үдэшлэг зохион байгуулна https://t.co/zN3sNfVcAA
neutral,"@Ganchuluun_T @khulan9009 Энхбат МУд анх интернет  оруулж ирсэн хүн. Хэн ч маргахгүй. Би түүнийг өнөөгийн Монголын нийгмийг судлаж шинжилж, анализ хийж, өөрийн гэсэн хөгжлийн загварыг бий болгож тодорхойлсон хүн гэж харж бгаа. Түүнийгээ хэрэгжүүлэх боломж өгвөл бидэнд хөгжил, дэвшил, шудрага ёс ирнэ."
positive,"Системийн инженер, ""Зөв хүн электорат"" эвслээс МУ-ын ерөнхийлөгчийн сонгуульд нэр дэвшигч Д.Энхбат хандивын цахим үдэшлэг хийнэ. https://t.co/0GJRYhAPxy"
negative,"@Bachkaa01 Эргэж дагаагүй жиргээчийн жиргээ харагдахгүй, дагасан цөөн хэдэн томчууд нь бараг жиргэдэггүй. Ингээд л олон түмнээсээ тасарч байгаа нь тэр. Д.Энхбат МНН-ын дарга байхдаа ч жирийн гишүүдээсээ хэт тасарсан хүн байсан, тэгээд л намын гишүүд нь түүнийг намаасаа хөөж туухдаа тулсан."
neutral,Америкын иргэн хүртэл Энхбат гуайд хандив явуулж байна гэжийшд. Гадаад дотоодгүй дэмжих юм байна. https://t.co/G756G660jb
negative,Энхбат vs Хүрэлсүх гэсэн #poll хийгээд Хүүк ялагдангуут #poll-оо устгадаг ах ийн бичжээ😂😂😂 https://t.co/LhpROFMi7T
neutral,"Би Энхбат гуайг дэмждэг. Тэглээ гээд Хүрэлсүхийн тэнэглэлд дуугүй сууснаараа Энхбат гуайд тус болно гэж бодохгүй байна. 
Ямар гүтгээд байгаа ч биш.
Баткагийн зөвлөгөө бол Хүрэлсүхийг дэмжигчийн зөвлөгөө гэдгийг ялгахтайгаа байнаа..."
positive,@Batka_ Дэмжиж байгаа ч энд тэнд үсчихгүй. Чимээгүйхэн саналаа Энхбат гуайд өгнөө :)
negative,"Харин ч Энхбат гуайн дэмжигч нар бусад хоёрынхоос хавьгүй илүү соёлтой байгаа харагдсан шүү. Үүнийг мэддэг юм байж ийм муухай далд явуулга онцгүй л харагдаж байна, Батка! https://t.co/YWjbOOEne8"
positive,"Энхбат гуайн ойлгогдох, ойлгогдохгүй эшлэлүүдийг одоохондоо түрдээ бользнох уу? Хүмүүс ээ… 🙄🥺😂"
neutral,"Д.Энхбат гуай блокоо ч авчихгүй юм. Удахгүй санал гуйх гэж байж нээлттэй, зэмлэл магтаал хоёрыг зэрэг сонсож баймаар шдээ. Гэхдээ би зэмлэх байтугай хор хүргэлгүй блоклуулсан байдаг юмөө"
positive,@Batka_ @enkhbat Хэрвээ Хүүк Энхбат хоёр шууд халз үзвэл Энхбат ялна
negative,Хүн өдчихөөд дараа гомдох гсн юм блгүй дээ энхбат хүрэлсүхдээ ч биш зүгээр чи өөрөө яагаад ингэж өдөөн хатгалга хийчээд тэгснээ ингэж бичдэг юм? заримдаа ичих юм өмнөөс чинь ямар шорвог бгаад эм болохоор үгс харагдсангүйээ. харалган бгаад минь уушлаарай https://t.co/hLRBZkA0pi
negative,"@Tamir61 @khulan9009 Энхбат гуайд саналаа өгөхийг уриалж бн. Учир нь тэр ямар нэг бүлэглэлийг төлөөлөөгүй бөгөөд нам, бүлгийн төлөөлөгч бус жинхэнэ ард иргэдийн төлөөлөл болж чадна."
negative,Энхбат начин найдваргүйм бишүү тэ бараг 🥺🥺🥺
negative,@Batka_ ..ман хүсвэл энхбат ялна гэдэг чинь тэр сонгуулиин хар машиныг хэн хэниигээ сонгох хамаагүй ман тоог нь нааш цааш нь болгоол сууж байдаг Гэсэн үг үү
positive,"ТӨР БОЛ МЭРГЭЖЛИЙН
ЧАДВАРТАЙ ХҮМҮҮСИЙН БАГ.

Д.ЭНХБАТ"
positive,"За, Д.Энхбат нэр нэвшигчийг дэмжих цахим үдэшлэг эхэллээ. Сонирхсон нь орж ирээрэй. @enkhbat @dorjkhand_t @Munkhsoyol_Econ https://t.co/F44iDat4U5"
negative,@Batka_ Үүнээс дүгнэхэд Энхбат гуайн нэр хүнд өндөр байгаа бололтой.
negative,"Энхбат начин ухаан орохгүй 40 хонож байна гэсэн байна ш дээ, аймаар юмбэ😔😔"
positive,@amgaaamgalanba1 Хүний сонгох эрхийг хүндэлнэ. Би Энхбат гуайг дэмжиж байгаа. Сонголтыг тань мөн хүндэтгэнэ.
neutral,Энхбат гуай одоо Монгол Улсын төлөө зүтгэе гээд дэвшиж бдаг. Генерал нь хэн юм бол:). https://t.co/5MFfgTmn0q
positive,"""Би та бүхний итгэлийг хугалахгүй гэж чадлаараа зүтгэнэ!"" Д. Энхбат #Clubhouse 

Сонгогч биднийхээ итгэл үнэмшлийг сэтгэлдээ  тээж, үнэлж, улмаар үйл хэрэгтээ хамтатгаж явах Ерөнхийлөгчтэй болох нь хэдүүлээ, ураа! 👏👏👏 https://t.co/JHDe6OrAK2"
neutral,@Batka_ Би таныг Энхбат гуайг дэмжээд байна гэж ойлгосон.
negative,@khulan9009 Датакомын Энхбат гэж мэднэ ээ мэднэ хөдөөний сумын хүүхэд ш дээ
positive,Энхбат гуай хурц шийдэмгий харагдахгүй ч дэлхийн жишигт нийцсэн боловсролтой төлөв даруу улсын нэр унагаад байхгүй ерөнхийлөгч байх болов уу. Тэргүүн хатагтай ч боловсролтой цаг үетэйгээ зохицсон гоё дэгжин эмэгтэй байна бравоо👏👍 https://t.co/fNUHKCKrQt
negative,"Энхбат гуайд хандив өгмөөр байхийн, Монгол дансанд юм байхгүй 😢"
positive,"@enkhbat Сонсоод баясаад, 2 гараа өргөөд дэмжээд л байгаа шүү Энхбат ах :-)"
positive,"Юмс гоё л болж, клабхаузд нэ өрөөнд Энхбат нэр дэвшигч үдэшлэг зохиож хандив цуглуулж байна, нэг өрөөнд сонгодог хөгжимийн тухай яриа болж байна, нөгөө өрөөнд 3x3 сагсныхны тэмцээний тухай бас нэг өрөөнд 10 их наядын тухай албаны хүмс яриж мэдээлэл өгч бн."
neutral,Энхбат гуайг би хувьдаа дэмжиж байгаа. Түүнийг дэмжих 1000 шалтгаан байлаа гээд бусад хүмүүс над шиг сэтгэх албагүй.
negative,@Chuluunbat201 Жиргээнд бас сонин юм их бх юм огт харилцаж үзээгүй мөртөө блоклуулсан хэдэн хүн бий. Энхбат бас Бодонгууд билүү аялдаг нөхөр бн. Баабар гуай бол согтуудаа миний жиргэснийг буруу ойлгоод блок хсн бх гэж боддог буруутгаж чаддаггүй юм. Энхбатын блокнд бол хэлмэгдсэн мэдрэмж төрөөд
neutral,"Энхбат гуайг дэмжиж буй хүмүүс сэхээтэн,оюунлаг гэсэн ялгаварлал битгий үүсгээрэй. 

Бүх хүн адилхан үнэ цэнэтэй.Бүх хүн өөрийн сонгосон амьдралаар амьдрах эрхтэй. Бүх хүнд өөрийнх нь сонголт үнэ цэнэтэй.

Бусдыг доромжилох хэтэрхий фанатик байх хэрэггүй."
neutral,@Chuluunbat201 Дээр үед ганц ч үг хэлээгүй бхд...муухай хараад бну гүюү сду минь гд өдөөд эхлэдэг хулигаанууд бсн тэ. Мэдээгүй бж бгд Блок хийцэн бхаар ийм мэдрэмж төрдөгшд. Энхбат Ерөнхийлөгч
neutral,@khulan9009 Монголд интернет байхгүй байхад Датаком гэдэг компани анхны сүлжээг оруулж ирж байлаа. Захирал нь Энхбат гэж хүн байлаа. Твиттерээр асуулт асуух боломжийг чинь энэ компани олгосон байна штээ
neutral,"Би биечлэн танихгүй. Гэхдээ миний мэдэхээр Энхбат ах;
УПИ гэж супер сургууль төгссөн системийн инженер. Монголын интернетийн анхдагч. Иргэний нийгмийн идэвхитэй оролцогч. Систем загварчилдаг 😉 https://t.co/NITNoNonlK"
positive,Нэг танил маань 6 жил хөтөлсөн 8к аккаунтаа зарж Энхбат ахын сонгуульд хандивлмаар бна гэнэ. Хүмүүст түгээж РТ хийгээд өгөөч🙏🙏
positive,"Өнөөдөр нэг тийм сайхан ирээдүйд итгэх итгэл, урам хүмүүст өгөх эерэг мэссэж л үгүйлэгдэж байна даа. Энхбат гуай эерэг кампани явуулаасай."
neutral,@aagiiah @esunertunts тарах нь ч хашай юм энэ удаа харин сонгохгүй байх нь нийгмийн шаардлага хүсэл юм дааа.го Энхбат го.
negative,"Энхбат ах маань хэдэн сэхээтэн тойруулаад цэмбийж ялгараад анхнаасаа хэт агаарт хөдөлчих вий. Бусад нь дургүйцэнэ шүү. Имижмэйкингээ зөв эхэлмээр бн.

Доор дурьдсан нийгмийн бүх анги бүлэг давхаргад хүрч байж сонгуулийн марафонд өрсөлдөнө шүү дээ ⬇️ https://t.co/BOJ6DquqtM"
positive,"Дөнгөж сая 19 настай оюутан орчуулга хийж, essay бичих зөвлөгөө өгч олсон бүх мөнгөө Энхбат гуайд хандивлав. 🔥🔥"
negative,"@Batka_ Энхбат өнгөрсөн 7-р сарын 1 нд тараа таниулсныг Жаргалсайхан сайхан ярьж өгсөн , энэ хүн дэмжлэг авч чадахгүй ээ🤮"
positive,Дуу сонсоод хажуугаар нь Энхбат ахын онигоог сонсоод жаргажийндөө 🤗 https://t.co/pnOI3ZJPyk
neutral,"ХҮН нам шинэлэг зүйл санаачилж байгаад хууль зөрчих вий дээ. Clubhouse-н энэ өрөөнд сонгогчдын саналыг татах зорилготой уриалсан, дэмжсэн яриа, бас урлагийн үзүүлбэр ч яваад байна. Хуулль зүйн хувьд н.Энхбат гуай одоогоор “нэр дэвшигч” биш “аливаа этгээд” гэсэн статустай байгаа. https://t.co/QWkvLwzPWY"
positive,@DorjnamjimL @duuree0426 Би энхбат гуайг дэмжээд сануулаад л байгаа.
negative,"Энхбатын толгойлж байсан Ногоон Нам нь баячуудаас 80%-ийн татвар авахыг, зээлийн хүүнд хязгаар тогтоохыг, тусгай сангууд байхыг шаардана. ХҮН яг адилхан буюу прогрессив татвар дээр нь 80% гэсэн тоо л үгүй. Чөлөөт зах зээл үгүй гэж хэлсэн Хүрэлсүхээс Энхбат ямар ялгаа байна?"
negative,"Энхбат гэж хүн байгаагүй бол одоо болтол монгол интернетгүй байх байлаа гэхийн.
Үнэн юм уу?...........😝"
neutral,"Хүрэлсүхийг дэмжигчид өрсөлдөгч хэн нэгнийг харааж муулдаггүй, харин түүнийг дэмжих, сурталчлах, бодлогыг нь таниулах маягтай жиргэх юм. Гэтэл Д.Энхбат гуайн дэмжигчид энд зөвхөн Хүрэлсүхийг хараах, доромжлох, дайрч гутаах байдлаар жиргэх юм. Ялгаа нь энэ л байна. https://t.co/FbZgne6hum"
neutral,@SoyomboMN Ай даа амлах амархан шүү. Д.Энхбат гуайг үүл рүү хөөргөчих вий гэж айх юм. Уул нь болдог бол данс руу мөнгө ороол хундгаа тулгадаг бол...
negative,@artanyan @nambon__ Танайхны пиар чинь Дарангуйлагч гэж нэг үзээд бүдүүлэгүүд хүүкийн тал сэхээтэн бол энхбат гэсэн уриатайн бишүү
negative,@artanyan @nambon__ Мэр сэр байгаад байна шүү хө Энхбат гуайг сайн мэдэхгүй гэж хэлэнгүүт боловсролгүй сэхээтэн залуус бүгд мэдэж байгаа гээд байхийн яахуу?🙄🙄🙄
negative,Энхбат гуайн парти-г сонсох гээд орохоор Мөнхсоёл гуай ярьж таарах юм.
positive,"Датаком-ын Энхбат гэхээр дээх нь үед бол хүмүүс таньдаг байсан, шинэ содон техникийн хөгжлийг Монголд анхлан авчирсан болоод ч тэр үү. https://t.co/V9iLWDInVu"
negative,@MBBontoi Нээх Энхбат гуайг сайлаад нөгөөдүүлийг муулаад бга пр харагдахгүй л бна даа...Харин ч зүэр дан Энхбатыгаа л ярьж бна шдээ 😅...
positive,Д.Энхбат гуайн хандивын аргаихэмжээ сэтгэл хөдлөс болж бншүү 🥰
negative,Хүүе очоод 100К-н аваад Энхбат гуайдаа сонгуульдаа ашиглаарай гээд өгчих юмсан 😎 https://t.co/D7Ft5hyOx7
positive,19 н настай охин орчуулга хийж олсон мөнгөө Энхбат гуад хандивласан байна тэр хүнд их итгэж байна. түүний цаана их хариуцлага үүсэж байна . Би ч итгэж байна  дэмжинэээ
positive,"Д.Энхбат нэр дэвшигчийн цахим найр сайхан боллоо: дууллаа, хуурдлаа, шүлэг уншлаа, үгээ хэллээ. Баярлалаа @Munkhsoyol_Econ @dorjkhand_t Дэмжиж, хандиваа өргөлөө. Түүнийг дэмжиж буй хүмүүс ""ХҮ хамтлаг шиг"" ХҮ намын энэ данс руу хандиваа хийгээрэй гэж уриалж байна. :-) @enkhbat https://t.co/Hrgry0HSvF"
negative,"@uuganaa0 Эрх биш мэдэж бгаа л блгүй дээ. Яаж хандах, өөрийгөө таниулах учраа олохгүй л бгаа бх л даа.Энхбат гуайг сонголоо гээд улс мулс шууд хөгжөөд хүн амьтны нар нь гарчихна гэж бхгүй л бх. Гэхдээ сонгогдож чадах юм бол УТчид, удирдагчдын босго ядаж 1 алхмаар дээшлэх бх л гэж бодож бна"
neutral,"Д.Энхбат ерөнхийлөгчөөр сонгогдвол ХҮН намын нэр хүнд өсөж дараагийн сонгуулиар УИХ-д олон суудал авах байх. Гэхдээ ХҮН нам янз бүрийн хүмүүсийн цуглуулга, тэд нар нь шинэ учраас бүхнийг өарчилнө шинэчилнэ гээд улсаа самрах болов уу?"
neutral,@Batka_ Би хөдөөний иргэн байнаа. Энхбат гуайг хүүхэд байхаасаа форумаар нь мэднэ. Өөрсдийгөө хотынх гэж каст үүсгэж ярьдагаа болихыг зөвлөе.
negative,"Жэнкогоо моя гэдэг*сэхээтэн* гэж өөрсдийгөө нэрлээд бгаа Энхбат гуайн сошиал багийн хийж байгаа байдал нь. Яг үнэндээ жэнкогоос ч дордчиж. Нэр дэвшигч нь ийм юмыг нь хараад дугай сууж байгаа бол ацны *сэхээтэн* бэ
Хэдэн зураг нь дээр бөөнөөрө өөлөөл сууж харагдахын өөр өө олдохну https://t.co/VdY0gwgeGW"
negative,"ЧойБалсан
ЦэдэнБал
Батмөнх
ОчирБат
Багабанди
ЭнхБаяр
ЭлБэгдорж
Баттулга
Энэ жишгээр бол ЭнхБат л гэж гараад байна даа.
Хүрэлбөх гээд нэрээ солихгүй л бол боломж алга..."
negative,Энхбат гуайн дэмжигчид ялгаварлаад байна гэсэн жиргээ л их уншлаа. Ялгаварлаад байгаа жиргээг нэг ч уншсангүй. Яагаад намайг гадуурхлаа гэсэн комплексоосоо салж чаддаггүй юм бол? Гадуурхах ямар ч шаардлага байхгүйшт
negative,"Троллууд уул нь зүгээр л байж байхад болох юм байгаашд. Энхбат гуайд тролл гэж байхгүй байх өө. Та хэд өөрсдөө л Хүүкийг муулаад , дараа нь ингэж жиргэж байгаа биз. Арга барилаа өөрчилмөөр байнаа https://t.co/RHJT1Kt0hZ"
negative,Энхбат гарвал өмнөх ерөнхийлөгч нарын автоматаар авдаг өнөөх гэрээнүүдийн эрх нтрийг авах болов уу тэрэнд нь гараа дүрэх болов уу юу гэж бодож байна
negative,@erdenebatavia +  Энхбат гуайг дэмжээгүй бол бараг орк юу юу ч гэнэ үү
neutral,"Хараад бхад Энхбат гуайг фэнүүд нь л алах юм бна, 
Энхбат л Хөөрхөн эхнэртэй,
Сэхээтэн, элит, бусад нь орк
Энхбат л тархины булчинтай бусад нь гарын булчинтай,
Энхбат л биднийг аварна бусад нь сөнөөнө ... юу юу гэнэ вээ, 
Гэхдээ хоорондоо л яриад, яриандаа уяраад огшоод бхын"
negative,"@Gerel Санаа тань зөв.
Харин сэтгэгдэл үлдээхдээ зорилгоо, өөрийнхөө, үр хүүхдийнхээ төлөө гэж бичвэл. Бид ойлгож байгаа хэдий ч Энхбат гэдэг хүнийг өвдчихөж гэж ойлголоо."
neutral,@aagiiah Заавал тэгэх шаардлагагүй. Хүмүүст өөр өөрийн үзэл бодол бий. Би Энхбат гэдэг хүнд саналаа өгнө.
negative,"улс төржихөөс🙄

Энхбат гуайг дэмжинэ гэдгээ дэмжигчид нь чөлөөтэй илэрхийлж бна, тэднийг хэн ч үгүйсгэсэнгүй

Хүрэлсүхийг дэмжинэ гэдгээ илэрхийлсэн хүн Энхбат гуайн дэмжигчдэд  доромжлуулж гутаалгалаа

бусдынхаа сонголтыг  хүндэлж сур хөгийн новшнууд минь"
neutral,2025 онд Энхбат гуай шиг интелликтуал гарах болтугай. Одоо бол сэтгэлгээний шилжилт үргэлжлэх биз. Дэмжлэг одоогоор зөвхөн социалд л байна.
neutral,"Хүүк бол угаасаа биш нөүү🤮‼️
Энхбат гуайг дэмжиж бга ч намынхан нь,дэмжигчид нь иргэдийг боловсролгүй хөдөө бол Энхбат гуайг мэдкү,
Зайсангийн сэхээтнүүд клаб хаус айфон8-аас дээш г.м ялгаварлаж бга нь муухай санагдчихлаа❌
Дэмжигчид нь Энхбат гуайг алаад бншүү‼️
Хандлага чухал"
positive,@ariunq Би бас Энхбат гуайг дэмжиж байна
neutral,Энхбат гуайг дэмжигч нар өөрсдийгөө магтаж бусдыг муулахаа болино уу? Өчүүхэн жижигхэн инээдтэй санагдаад эхэлсэн шүү. Хаа очиж Хүрэлсүхийг дэмжигч нар соёлтой чимээгүй зүгээр л ДЭМЖИНЭ гэсэн үг л бичиж бна
negative,"Сүүлийн үед Энхбат гуайг дэмжээгүй хүн бол ""боловсролгүй, харанхуй, бүдүүлэг"" гэж ойлгох хэмжээнд очиж байх шиг."
neutral,"Бодит үнэн бол Хүрэлсүх даргын рейтинг улс даяар маш өндөр бга.
Энхбат ах зөвхөн сэхээтэн давхарга ойлгох хэлээр ярьдаг. Нийгмийн бүх бүлэг давхаргад тохирох поп* контекстууд ярьвал олон хүнд хүрнэ 😉"
positive,"Ямар их итгэл, найдвар, Эверест уулыг хэд нугалах агуу сэтгэл вэ! 🥰 🥰🥰

Энэ их хүчийг зөв залж, шаардлагатай гэвэл үүрч явж чадна гэж Д.ЭНХБАТ гуайд 100% итгэж байна! 

Монгол улс ахин нэг удаа мандан бадрах гал цог залуусын маань сэтгэлд дүрэлзэж эхлэв. Үлээгээд өгцгөөе❗️ https://t.co/U3GxEFgshl"
negative,"@Dandag_5004 @KhulanMi Хэдэн зургийг нь л хэдэн талаас нь мэрж бгаа харагдах юм.. Өрсөлдөгчийнхөө үзэгдэх харагдах бдлаар нь миалж өө хайгаад сууж бхаар нэр дэвшигчээ яаж таниулахаа боддог бгаадаа.. Энхбат гуай жиргээд бж бхдаа л сүртэй бж, яриад эхэлсэн.. тэр бж бгаа бдал бүгд чур санагдах боллоо!"
positive,@Batka_ Энэ удаад Энхбат хангалттай илүү.
negative,"Д.Энхбат нэр дэвшигчийн сэдвээр асуумаар байвч ч дайрч доромжлуулахаас айгаал суужийн даа.

ДМ грүпп дотор болгоомжтой асуухад л элдвээр хэлүүлж аттаклуулаад киклүүлжийшт. Аймар буллидуулж байна."
negative,"@TuvshinjargalZ @Mad_AngeI Уучлаарай миний л бодол шүү. Одоо бол нэг их хурц дайчин, урна тасдана, ялна мандана гэх хүн яг Еөк д бол дэмий юм шиг л санагдах болсон. Дотроо ч, ОУд ч тал алдчихалгүй зохицоод явчих л хүн хэрэгтэй санагдаад Энхбат гуайг дэмжиж бгаа. (За өөр ч тэгээд сонголт ч алга)"
neutral,Энхбат нэр дэвшигч .MN домайн нэрийн бизнесээ улсад өгөөд шудрага эх оронч гэдгээ харуулчих ёстой гэж боддог. Олон жил үр ашгыг нь хүртсэн одоо шилжүүлчих хэрэгтэй! Таныч юм биш шүүдээ?
positive,Энхбат vs Хүрэлсүх  https://t.co/KZ1tuxbfO9
